row_number,datetime,lat,lng,stop_duration,subject_age,subject_height,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,driver_suspected_under_influence,area_risk,officer_heart_rate
2791261,2013-08-25_00:54:00,-26.208941299999992,27.965272500000026,33.31261439322061,28.0,medium,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,69
2159817,2012-05-29_16:25:00,-26.208941299999992,27.965272500000026,27.777340180199012,52.0,tall,male,82f2e31c2b,vehicular,seatbelt violation,False,True,False,citation,False,False,False,False,True,False,True,plain view,seatbelt violation,False,very high,58
2131045,2011-05-25_03:02:00,-26.15954579999999,27.96152730000003,36.30275630114202,35.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,68
1756408,2013-03-08_22:54:00,-26.1971305,27.96500460000003,18.360995354818403,29.0,tall,female,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,64
2487945,2016-07-12_21:41:00,-26.181831200000005,27.969563600000043,28.713489517849364,47.0,medium,male,b3d18aa8ec,vehicular,seatbelt violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,seatbelt violation,False,very high,81
2911461,2015-09-12_04:05:00,-26.166754599999997,27.953942600000005,36.93457241220588,23.0,medium,female,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,63
1793106,2016-04-01_20:56:00,-26.162984,27.96626590000001,20.743947624482885,19.0,medium,female,d6864f2be6,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,90
2298334,2015-06-17_02:48:00,-26.158159399999995,27.965265000000002,19.002573523141503,35.0,tall,female,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,True,very high,65
2205376,2014-05-06_16:44:00,-26.1769181,27.965976099999992,30.58042369822271,21.0,medium,male,b3d18aa8ec,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,81
1497855,2013-02-06_05:27:00,-26.168975299999985,27.952820200000005,24.36368522944016,28.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,70
149563,2011-10-30_04:21:00,-26.16539559999999,27.95309179999998,28.917415153552135,28.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,71
1857353,2011-04-20_05:28:00,-26.208941299999992,27.965272500000026,28.954895056613672,53.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,71
249897,2013-11-12_21:05:00,-26.1826843,27.972114900000008,19.966102275073517,32.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,55
884620,2017-02-17_21:08:00,-26.1866258,27.9851625,31.622817751079854,28.0,medium,male,b3d18aa8ec,vehicular,vehicle equipment violation,False,True,False,citation,True,True,False,True,True,True,True,plain view,vehicle equipment violation,False,very high,106
2494863,2016-07-13_21:54:00,-26.176867899999998,27.968157000000005,24.032323682377452,20.0,medium,male,b3d18aa8ec,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,81
445882,2015-01-16_01:13:00,-26.158159399999995,27.965265000000002,23.116403975767522,33.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,True,very high,60
1819795,2012-04-15_21:25:00,-26.1884448,27.9894053,35.955859337943465,54.0,medium,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,73
1373072,2011-02-17_04:16:00,-26.15954579999999,27.96152730000003,21.536754934261978,21.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,59
2074430,2014-05-18_00:15:00,-26.166754599999997,27.953942600000005,22.327359949658693,23.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,True,False,False,arrest,False,False,False,True,True,True,True,plain view,moving traffic violation,False,very high,57
2942547,2011-09-17_00:49:00,-26.18829329999999,27.951316100000028,29.701020731025217,18.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,69
3052221,2011-09-04_01:12:00,-26.1627821,27.950372,37.513080767434545,38.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,66
2503444,2011-07-15_21:51:00,-26.179454999999997,27.961686,21.443575672187997,27.0,tall,male,498350de5b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,True,True,True,False,consent,moving traffic violation,False,very high,70
796630,2011-01-04_19:07:00,-26.1826843,27.972114900000008,27.368664303392116,49.0,medium,male,498350de5b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,True,True,True,True,consent,vehicle equipment violation,False,very high,74
1857078,2011-04-20_03:23:00,-26.171409699999998,27.947233200000028,37.19507274635488,23.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,71
2145683,2012-05-27_01:39:00,-26.1623589,27.951351000000003,31.263861622887674,23.0,medium,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,61
1765891,2013-03-09_20:33:00,-26.170634399999997,27.949033299999982,29.642835328167905,18.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,64
3038721,2011-09-30_00:30:00,-26.1849348,27.95107209999999,28.60502402954526,26.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,63
2401651,2013-06-30_22:03:00,-26.171409699999998,27.947233200000028,25.23879805604884,51.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,64
3067440,2012-09-06_20:06:00,-26.182450099999997,27.971398300000004,24.924077772201567,35.0,tall,male,498350de5b,vehicular,vehicle equipment violation,True,False,True,arrest,False,False,False,True,True,True,True,other,vehicle equipment violation,False,very high,61
2795224,2010-08-26_23:32:00,-26.1945232,27.954716199999964,21.540862120332708,23.0,medium,female,2b7a7efb70,vehicular,vehicle equipment violation,False,True,True,citation,False,False,False,False,True,True,False,consent,vehicle equipment violation,False,very high,89
2975491,2016-09-21_19:45:00,-26.199027,27.974035300000025,27.951430747360096,22.0,medium,female,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,72
369885,2012-11-28_22:31:00,-26.196053399999997,27.971198200000018,32.48491478056947,26.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,64
2160250,2012-05-29_20:24:00,-26.208941299999992,27.965272500000026,18.81648187325378,21.0,medium,male,82f2e31c2b,vehicular,seatbelt violation,False,True,False,citation,False,False,False,False,True,False,True,plain view,seatbelt violation,False,very high,69
2469206,2013-07-11_23:32:00,-26.1871833,27.98564590000001,42.30065361105781,31.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,60
2692770,2012-08-12_23:22:00,-26.168108599999996,27.954823600000026,20.0945846863534,28.0,tall,female,82f2e31c2b,vehicular,registration,False,False,True,warning,False,False,False,False,True,False,True,plain view,registration,False,very high,60
2593380,2013-07-27_00:35:00,-26.168147599999998,27.95067420000001,29.007158669086607,58.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,74
2115085,2010-05-23_01:25:00,-26.179308700000007,27.962075400000018,31.363056944485564,25.0,medium,female,82f2e31c2b,vehicular,registration,False,False,True,warning,False,False,False,False,True,False,True,plain view,registration,False,very high,65
2225881,2012-05-09_03:45:00,-26.168433999999998,27.96395340000001,22.54496348860084,36.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,True,very high,65
1982902,2012-04-07_23:11:00,-26.196053399999997,27.971198200000018,29.299656146303935,23.0,medium,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,70
2593421,2013-07-27_02:05:00,-26.168460499999995,27.954021300000008,32.43862916624325,40.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,66
2637027,2013-07-05_23:25:00,-26.1695164,27.951567100000005,42.16374414088054,47.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,61
1500438,2015-02-06_02:46:00,-26.163697299999995,27.963579800000005,36.79776946118441,25.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,59
1698221,2016-03-29_19:50:00,-26.199027,27.974035300000025,23.28843999662411,38.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,66
608633,2010-01-22_23:25:00,-26.2045963,27.98758740000001,21.402666545005623,20.0,tall,female,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,71
1532166,2016-03-10_13:39:00,-26.182197599999995,27.97192720000001,16.734508295710587,20.0,medium,female,93ef5d6182,vehicular,seatbelt violation,False,True,True,citation,True,True,False,False,True,False,True,probable cause,seatbelt violation,False,very high,105
2542467,2011-07-21_23:51:00,-26.2079606,27.987200200000004,26.710806385726443,49.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,True,False,plain view,moving traffic violation,False,very high,67
58496,2014-10-17_00:33:00,-26.16539559999999,27.95309179999998,30.441842851880615,28.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,62
1952298,2012-04-03_20:38:00,-26.206044999999996,27.9806035,25.59276000035344,54.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,True,very high,65
258497,2015-11-13_03:14:00,-26.15954579999999,27.96152730000003,34.03336750238122,45.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,True,very high,68
690122,2013-12-04_02:48:00,-26.162663799999997,27.965148200000044,15.958172331323073,39.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,68
2209998,2012-05-07_00:07:00,-26.160463199999995,27.951368800000026,26.500152319123334,23.0,tall,female,6f0e6c9ea2,vehicular,vehicle equipment violation,False,True,False,citation,True,True,False,False,True,False,True,probable cause,vehicle equipment violation,False,very high,119
2721867,2013-08-16_02:59:00,-26.164879399999997,27.952764200000004,27.943143879357834,24.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,62
644146,2013-12-27_00:51:00,-26.168108599999996,27.954823600000026,28.199962392958067,45.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,69
2697133,2016-08-12_15:59:00,-26.185283499999997,27.979930700000025,21.639899916628927,21.0,tall,male,b3d18aa8ec,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,75
1928435,2012-04-28_02:01:00,-26.1643567,27.951375999999982,21.64908455020097,26.0,medium,female,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,66
1607975,2013-03-19_21:14:00,-26.161681,27.969695,26.756937028815198,24.0,medium,male,2b7a7efb70,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,True,True,consent,vehicle equipment violation,False,very high,77
1454844,2013-02-27_01:21:00,-26.1720046,27.94582149999998,32.049462745994994,30.0,tall,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,66
2522924,2012-07-18_22:53:00,-26.170151700000005,27.950120099999964,20.17371674182992,44.0,tall,male,82f2e31c2b,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,vehicle equipment violation,False,very high,64
2783716,2012-08-24_03:28:00,-26.158159399999995,27.965265000000002,18.18529910983186,30.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,61
2073029,2012-05-18_19:05:00,-26.208941299999992,27.965272500000026,33.394720240143364,43.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,70
2433943,2013-06-06_00:35:00,-26.168698499999998,27.945496300000002,28.468152245812664,31.0,tall,male,82f2e31c2b,vehicular,registration,False,False,True,warning,False,False,False,False,True,False,True,plain view,registration,False,very high,71
1557459,2011-03-13_23:16:00,-26.181617599999996,27.972474599999998,33.03132507090541,38.0,medium,male,93ef5d6182,vehicular,moving traffic violation,False,True,False,citation,True,True,False,True,True,True,True,consent,moving traffic violation,False,very high,105
2651169,2013-07-07_21:48:00,-26.19611729999999,27.971079800000027,28.723370208301976,44.0,medium,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,56
2316109,2011-06-20_00:12:00,-26.1871833,27.98564590000001,32.03622504702708,24.0,medium,female,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,70
269503,2012-11-15_15:46:00,-26.206044999999996,27.9806035,27.69011691587635,29.0,tall,male,6f0e6c9ea2,vehicular,vehicle equipment violation,False,True,False,citation,False,False,False,True,True,True,False,consent,vehicle equipment violation,False,very high,82
900328,2017-03-11_17:00:00,-26.1957654,27.950910800000003,33.87382130102441,35.0,medium,female,2b7a7efb70,vehicular,moving traffic violation,False,False,True,warning,False,False,False,True,True,True,True,consent,moving traffic violation,False,very high,76
2699436,2012-08-13_01:07:00,-26.1709745,27.9541502,22.34939147804531,19.0,tall,male,6f0e6c9ea2,vehicular,vehicle equipment violation,True,True,False,arrest,False,False,False,True,True,True,True,other,vehicle equipment violation,False,very high,77
1665782,2016-03-25_20:15:00,-26.1884448,27.9894053,20.938175711720966,39.0,medium,female,9d1e57a193,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,True,True,True,True,consent,vehicle equipment violation,True,very high,76
2355195,2010-06-24_17:41:00,-26.208941299999992,27.965272500000026,26.25455037354994,26.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,61
2404602,2015-06-30_03:50:00,-26.1643567,27.951375999999982,29.890858098858715,52.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,68
2673518,2013-08-10_23:18:00,-26.19611729999999,27.971079800000027,12.73410367670681,51.0,tall,male,82f2e31c2b,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,67
2494862,2016-07-13_21:54:00,-26.175901599999996,27.9682947,31.17765241282754,18.0,medium,female,b3d18aa8ec,vehicular,moving traffic violation,False,False,True,warning,False,False,False,False,True,False,True,plain view,moving traffic violation,False,very high,79
